,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1,0.318181818,0.066666667,0.090909091,0.157894737,0,0,0,0,0,0,0.045454545,0,0,0,0,0,0,0.035714286,0,0,0,0.066666667,0,0,0,0,0
2,0.284598762,0.1,0.134064009,0.245619226,0,0,0,0,0,0,0.074081822,0,0,0,0,0,0,0.040656966,0,0,0,0.060238842,0,0,0,0,0
3,0.48409307,0.157579124,0.130383044,0.186066419,0,0,0,0,0,0,0.02936732,0,0,0,0,0,0,0.024069604,0,0,0,0.049860716,0,0,0,0,0
4,0.652928625,0.387298335,0.338061702,0.456435465,0.163299316,0.239045722,0.210818511,0.149071198,0.2,0.153392998,0.263117406,0.223606798,0.163299316,0.126491106,0.14509525,0.182574186,0.117444044,0.217642875,0.2,0.131876095,0.175411604,0.269679945,0.126491106,0.239045722,0.153392998,0.129099445,0.2
1,0,0.066666667,0,0.047619048,0.136363636,0.0625,0.055555556,0.076923077,0.052631579,0.038461538,0.095238095,0.058823529,0.041666667,0.166666667,0.074074074,0,0.114285714,0.074074074,0.052631579,0.137931034,0.045454545,0.066666667,0.060606061,0.0625,0.125,0.0625,0.052631579
2,0,0.1,0,0.081873075,0.134798689,0.1,0.1,0.089865793,0.1,0.04965853,0.148163644,0.1,0.060653066,0.091341762,0.081313932,0,0.048982571,0.081313932,0.1,0.109012717,0.074081822,0.060238842,0.044626032,0.1,0.148975591,0.049319393,0.1
3,0,0.013555876,0,0.015031752,0.17513372,0.012504459,0.010988565,0.033070996,0.071526639,0.007791596,0.104036555,0.011503232,0.058594525,0.194867343,0.113322057,0,0.125697032,0.03907188,0.104805104,0.124130845,0.013404026,0.017948605,0.096505739,0.043211542,0.167643741,0.072045997,0.014909915
4,0.14509525,0.387298335,0.169030851,0.273861279,0.40824829,0.358568583,0.316227766,0.298142397,0.3,0.230089497,0.350823208,0.335410197,0.244948974,0.442718872,0.2901905,0.182574186,0.352332132,0.2901905,0.3,0.395628284,0.263117406,0.269679945,0.252982213,0.358568583,0.383482494,0.25819889,0.3
1,0,0,0,0.047619048,0.041666667,0,0,0.037037037,0.111111111,0.038461538,0.095238095,0,0.041666667,0.129032258,0.115384615,0.047619048,0.083333333,0.074074074,0.052631579,0.064516129,0.045454545,0.032258065,0.060606061,0.0625,0.125,0.03030303,0.052631579
2,0,0,0,0.081873075,0.044932896,0,0,0.044932896,0.2,0.04965853,0.148163644,0,0.060653066,0.07307341,0.121970898,0.081873075,0.036736928,0.081313932,0.1,0.054506359,0.074081822,0.030119421,0.044626032,0.1,0.148975591,0.024659696,0.1
3,0,0,0,0.014126659,0.020072659,0,0,0.024079973,0.161537647,0.075428262,0.097772293,0,0.055066429,0.17718251,0.17573072,0.084689192,0.112551615,0.036719281,0.098494574,0.044797443,0.012596941,0.010121293,0.090694934,0.040609684,0.157549575,0.061716616,0.014012158
4,0.14509525,0.25819889,0.169030851,0.273861279,0.244948974,0.239045722,0.210818511,0.223606798,0.4,0.230089497,0.350823208,0.223606798,0.244948974,0.379473319,0.362738125,0.273861279,0.29361011,0.2901905,0.3,0.263752189,0.263117406,0.202259959,0.252982213,0.358568583,0.383482494,0.193649167,0.3
1,0.526315789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0,0,0,0,0,0,0,0
2,0.40656966,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040656966,0,0,0,0,0,0,0,0,0,0,0,0
3,0.786665738,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04900052,0,0,0,0,0,0,0,0,0,0,0,0
4,0.8705715,0.25819889,0.169030851,0.182574186,0.163299316,0.239045722,0.210818511,0.149071198,0.2,0.153392998,0.175411604,0.223606798,0.163299316,0.126491106,0.217642875,0.182574186,0.117444044,0.14509525,0.2,0.131876095,0.175411604,0.134839972,0.126491106,0.239045722,0.153392998,0.129099445,0.2
1,0.115384615,0.066666667,0.043478261,0.222222222,0.086956522,0.133333333,0.117647059,0.076923077,0.052631579,0.038461538,0.210526316,0.058823529,0.041666667,0.166666667,0.035714286,0,0.114285714,0.208333333,0,0.1,0.045454545,0.230769231,0.029411765,0.0625,0.038461538,0.03030303,0.052631579
2,0.121970898,0.1,0.067032005,0.327492301,0.089865793,0.2,0.2,0.089865793,0.1,0.04965853,0.296327288,0.1,0.060653066,0.091341762,0.040656966,0,0.048982571,0.20328483,0,0.081759538,0.074081822,0.180716527,0.022313016,0.1,0.04965853,0.024659696,0.1
3,0.128225505,0.016459854,0.056537583,0.190942258,0.034577776,0.126649931,0.111296378,0.040155564,0.08684928,0.009460734,0.227664769,0.013967486,0.071146816,0.213855475,0.048149232,0,0.131299436,0.201001704,0,0.066094637,0.016275473,0.209513977,0.041004177,0.052468441,0.013816668,0.007740925,0.018103959
4,0.362738125,0.387298335,0.253546276,0.547722558,0.326598632,0.478091444,0.421637021,0.298142397,0.3,0.230089497,0.526234812,0.335410197,0.244948974,0.442718872,0.217642875,0.182574186,0.352332132,0.507833375,0.2,0.329690237,0.263117406,0.53935989,0.18973666,0.358568583,0.230089497,0.193649167,0.3
1,0.16,0.066666667,0.043478261,0.222222222,0.136363636,0.0625,0.055555556,0.037037037,0,0.125,0.15,0.058823529,0,0.060606061,0,0,0.054054054,0.115384615,0.052631579,0.222222222,0.095238095,0.185185185,0,0,0.038461538,0.03030303,0.052631579
2,0.162627864,0.1,0.067032005,0.327492301,0.134798689,0.1,0.1,0.044932896,0,0.148975591,0.222245466,0.1,0,0.036536705,0,0,0.024491286,0.121970898,0.1,0.163519076,0.148163644,0.150597106,0,0,0.04965853,0.024659696,0.1
3,0.162352949,0.013736147,0.047181986,0.15934594,0.081811681,0.012670749,0.011134696,0.007547274,0,0.170551777,0.156354964,0.011656206,0,0.016043864,0,0,0.024055179,0.081337973,0.075687453,0.321973264,0.08004877,0.121440507,0,0,0.011530344,0.006459989,0.015108193
4,0.43528575,0.387298335,0.253546276,0.547722558,0.40824829,0.358568583,0.316227766,0.223606798,0.2,0.383482494,0.43852901,0.335410197,0.163299316,0.252982213,0.14509525,0.182574186,0.234888088,0.362738125,0.3,0.527504379,0.350823208,0.471939904,0.126491106,0.239045722,0.230089497,0.193649167,0.3
1,0,0.066666667,0,0,0.041666667,0.214285714,0.9,0.037037037,0,0.08,0,0.058823529,0,0.029411765,0,0,0.026315789,0,0,0.03125,0,0.066666667,0,0,0,0.03030303,0
2,0,0.1,0,0,0.044932896,0.3,0.9,0.044932896,0,0.099317061,0,0.1,0,0.018268352,0,0,0.012245643,0,0,0.027253179,0,0.060238842,0,0,0,0.024659696,0
3,0,0.009810981,0,0,0.005152028,0.22498107,0.936470747,0.005390606,0,0.063727483,0,0.008325392,0,0.00458332,0,0,0.004294877,0,0,0.00489691,0,0.0433392,0,0,0,0.004614018,0
4,0.14509525,0.387298335,0.169030851,0.182574186,0.244948974,0.597614305,1.159501809,0.223606798,0.2,0.306785996,0.175411604,0.335410197,0.163299316,0.18973666,0.14509525,0.182574186,0.176166066,0.14509525,0.2,0.197814142,0.175411604,0.269679945,0.126491106,0.239045722,0.153392998,0.193649167,0.2
